Species,nearest_2,nearest_3,nearest_4,nearest_5
Acinonyx_jubatus,Lycaon_pictus,Neofelis_nebulosa,Lynx_canadensis,Canis_simensis
Ailuropoda_melanoleuca,Ailurus_fulgens,Potos_flavus,Tremarctos_ornatus,Crocuta_crocuta
Ailurus_fulgens,Ailuropoda_melanoleuca,Potos_flavus,Tremarctos_ornatus,Arctictis_binturong
Arctictis_binturong,Potos_flavus,Nandinia_binotata,Proteles_cristatus,Ailurus_fulgens
Arctonyx_collaris,Nasuella_olivacea,Otocyon_megalotis,Helarctos_malayanus,Melursus_ursinus
Atilax_paludinosus,Martes_americana,Neovison_vison,Taxidea_taxus,Vulpes_velox
Bassariscus_astutus,Vulpes_zerda,Viverricula_indica,Urocyon_cinereoargenteus,Spilogale_putorius
Bdeogale_jacksoni,Lycalopex_gymnocercus,Vulpes_chama,Fossa_fossana,Viverra_zibetha
Canis_adustus,Urocyon_cinereoargenteus,Lycalopex_sechurae,Hyaena_hyaena,Vulpes_vulpes
Canis_aureus,Canis_latrans,Canis_mesomelas,Caracal_caracal,Chrysocyon_brachyurus
Canis_latrans,Canis_mesomelas,Canis_aureus,Panthera_leo,Cuon_alpinus
Canis_lupus,Uncia_uncia,Cuon_alpinus,Panthera_leo,Crocuta_crocuta
Canis_mesomelas,Chrysocyon_brachyurus,Hyaena_hyaena,Canis_latrans,Cerdocyon_thous
Canis_simensis,Lynx_canadensis,Cuon_alpinus,Lycalopex_culpaeus,Panthera_pardus
Caracal_caracal,Panthera_onca,Panthera_pardus,Speothos_venaticus,Canis_latrans
Catopuma_temminckii,Speothos_venaticus,Puma_concolor,Neofelis_nebulosa,Lynx_canadensis
Cerdocyon_thous,Vulpes_velox,Lycalopex_gymnocercus,Taxidea_taxus,Hyaena_hyaena
Chrysocyon_brachyurus,Canis_mesomelas,Hyaena_hyaena,Pekania_pennanti,Cerdocyon_thous
Civettictis_civetta,Cynictis_penicillata,Spilogale_putorius,Mephitis_mephitis,Vulpes_vulpes
Conepatus_mesoleucus,Ichneumia_albicauda,Helogale_parvula,Nasua_nasua,Mungotictis_decemlineata
Crocuta_crocuta,Ursus_maritimus,Panthera_leo,Canis_lupus,Cuon_alpinus
Cryptoprocta_ferox,Leptailurus_serval,Leopardus_wiedii,Galictis_cuja,Panthera_onca
Cuon_alpinus,Canis_simensis,Panthera_pardus,Uncia_uncia,Lynx_canadensis
Cynictis_penicillata,Spilogale_putorius,Civettictis_civetta,Mephitis_mephitis,Vulpes_zerda
Eira_barbara,Hyaena_hyaena,Viverra_zibetha,Canis_adustus,Lycalopex_vetulus
Enhydra_lutris,Hydrictis_maculicollis,Lontra_canadensis,Proteles_cristatus,Pteronura_brasiliensis
Felis_silvestris,Vulpes_macrotis,Leptailurus_serval,Galictis_cuja,Panthera_onca
Fossa_fossana,Procyon_cancrivorus,Viverra_zibetha,Bdeogale_jacksoni,Lycalopex_vetulus
Galictis_cuja,Leptailurus_serval,Leopardus_wiedii,Cryptoprocta_ferox,Prionailurus_bengalensis
Gulo_gulo,Ursus_maritimus,Parahyaena_brunnea,Lycalopex_culpaeus,Crocuta_crocuta
Helarctos_malayanus,Nasuella_olivacea,Arctonyx_collaris,Nasua_nasua,Otocyon_megalotis
Helogale_parvula,Ichneumia_albicauda,Mungotictis_decemlineata,Conepatus_mesoleucus,Proteles_cristatus
Hyaena_hyaena,Eira_barbara,Lycalopex_gymnocercus,Canis_adustus,Chrysocyon_brachyurus
Hydrictis_maculicollis,Lontra_canadensis,Lutrogale_perspicillata,Lutra_lutra,Enhydra_lutris
Ichneumia_albicauda,Helogale_parvula,Mungotictis_decemlineata,Conepatus_mesoleucus,Nasua_nasua
Leopardus_wiedii,Leptailurus_serval,Prionailurus_bengalensis,Cryptoprocta_ferox,Galictis_cuja
Leptailurus_serval,Cryptoprocta_ferox,Leopardus_wiedii,Galictis_cuja,Prionailurus_bengalensis
Lontra_canadensis,Hydrictis_maculicollis,Lutrogale_perspicillata,Lutra_lutra,Pteronura_brasiliensis
Lutra_lutra,Lutrogale_perspicillata,Neovison_vison,Lontra_canadensis,Hydrictis_maculicollis
Lutrogale_perspicillata,Hydrictis_maculicollis,Lontra_canadensis,Lutra_lutra,Neovison_vison
Lycalopex_culpaeus,Pekania_pennanti,Canis_simensis,Lynx_canadensis,Cuon_alpinus
Lycalopex_gymnocercus,Vulpes_chama,Spilogale_putorius,Cerdocyon_thous,Hyaena_hyaena
Lycalopex_sechurae,Canis_adustus,Vulpes_vulpes,Urocyon_cinereoargenteus,Hyaena_hyaena
Lycalopex_vetulus,Procyon_cancrivorus,Eira_barbara,Viverra_zibetha,Fossa_fossana
Lycaon_pictus,Acinonyx_jubatus,Lynx_canadensis,Uncia_uncia,Neofelis_nebulosa
Lynx_canadensis,Canis_simensis,Cuon_alpinus,Lycalopex_culpaeus,Neofelis_nebulosa
Martes_americana,Taxidea_taxus,Atilax_paludinosus,Vulpes_velox,Vulpes_chama
Mellivora_capensis,Vulpes_zerda,Mephitis_mephitis,Cynictis_penicillata,Spilogale_putorius
Melursus_ursinus,Otocyon_megalotis,Viverricula_indica,Arctonyx_collaris,Procyon_lotor
Mephitis_mephitis,Cynictis_penicillata,Mellivora_capensis,Civettictis_civetta,Spilogale_putorius
Mungotictis_decemlineata,Ichneumia_albicauda,Helogale_parvula,Conepatus_mesoleucus,Fossa_fossana
Nandinia_binotata,Viverra_zibetha,Arctictis_binturong,Eira_barbara,Lycalopex_vetulus
Nasua_nasua,Conepatus_mesoleucus,Otocyon_megalotis,Arctonyx_collaris,Helarctos_malayanus
Nasuella_olivacea,Arctonyx_collaris,Helarctos_malayanus,Nasua_nasua,Otocyon_megalotis
Neofelis_nebulosa,Puma_concolor,Uncia_uncia,Canis_simensis,Lynx_canadensis
Neovison_vison,Atilax_paludinosus,Lutra_lutra,Lutrogale_perspicillata,Martes_americana
Nyctereutes_procyonoides,Procyon_lotor,Civettictis_civetta,Vulpes_vulpes,Vulpes_velox
Otocyon_megalotis,Melursus_ursinus,Nasua_nasua,Procyon_lotor,Canis_adustus
Paguma_larvata,Vulpes_rueppellii,Procyon_cancrivorus,Cerdocyon_thous,Vulpes_zerda
Panthera_leo,Crocuta_crocuta,Canis_lupus,Ursus_maritimus,Cuon_alpinus
Panthera_onca,Caracal_caracal,Panthera_pardus,Leptailurus_serval,Cryptoprocta_ferox
Panthera_pardus,Puma_concolor,Cuon_alpinus,Canis_simensis,Panthera_onca
Parahyaena_brunnea,Pekania_pennanti,Lycalopex_culpaeus,Hyaena_hyaena,Canis_mesomelas
Pekania_pennanti,Parahyaena_brunnea,Lycalopex_culpaeus,Hyaena_hyaena,Chrysocyon_brachyurus
Potos_flavus,Arctictis_binturong,Ailurus_fulgens,Tremarctos_ornatus,Ailuropoda_melanoleuca
Prionailurus_bengalensis,Leopardus_wiedii,Leptailurus_serval,Galictis_cuja,Cryptoprocta_ferox
Procyon_cancrivorus,Paguma_larvata,Lycalopex_vetulus,Fossa_fossana,Vulpes_rueppellii
Procyon_lotor,Otocyon_megalotis,Melursus_ursinus,Viverricula_indica,Bassariscus_astutus
Proteles_cristatus,Helogale_parvula,Arctictis_binturong,Ichneumia_albicauda,Mungotictis_decemlineata
Pteronura_brasiliensis,Lutrogale_perspicillata,Lontra_canadensis,Hydrictis_maculicollis,Panthera_leo
Puma_concolor,Catopuma_temminckii,Panthera_pardus,Uncia_uncia,Neofelis_nebulosa
Speothos_venaticus,Catopuma_temminckii,Puma_concolor,Cryptoprocta_ferox,Caracal_caracal
Spilogale_putorius,Cynictis_penicillata,Lycalopex_gymnocercus,Vulpes_chama,Vulpes_vulpes
Taxidea_taxus,Vulpes_velox,Lycalopex_gymnocercus,Cerdocyon_thous,Martes_americana
Tremarctos_ornatus,Potos_flavus,Ailurus_fulgens,Ailuropoda_melanoleuca,Canis_mesomelas
Uncia_uncia,Puma_concolor,Canis_lupus,Cuon_alpinus,Neofelis_nebulosa
Urocyon_cinereoargenteus,Canis_adustus,Eira_barbara,Lycalopex_sechurae,Hyaena_hyaena
Ursus_arctos,Tremarctos_ornatus,Canis_latrans,Canis_aureus,Crocuta_crocuta
Ursus_maritimus,Crocuta_crocuta,Panthera_leo,Gulo_gulo,Canis_lupus
Viverra_zibetha,Eira_barbara,Hyaena_hyaena,Procyon_cancrivorus,Fossa_fossana
Viverricula_indica,Bassariscus_astutus,Melursus_ursinus,Procyon_lotor,Vulpes_zerda
Vulpes_chama,Lycalopex_gymnocercus,Spilogale_putorius,Vulpes_velox,Cynictis_penicillata
Vulpes_lagopus,Martes_americana,Taxidea_taxus,Vulpes_vulpes,Vulpes_velox
Vulpes_macrotis,Felis_silvestris,Cuon_alpinus,Canis_simensis,Chrysocyon_brachyurus
Vulpes_rueppellii,Paguma_larvata,Procyon_cancrivorus,Vulpes_macrotis,Felis_silvestris
Vulpes_velox,Cerdocyon_thous,Taxidea_taxus,Lycalopex_gymnocercus,Vulpes_chama
Vulpes_vulpes,Lycalopex_gymnocercus,Canis_adustus,Spilogale_putorius,Lycalopex_sechurae
Vulpes_zerda,Mellivora_capensis,Bassariscus_astutus,Cynictis_penicillata,Spilogale_putorius
