Food,Metric,Intercept_1,Intercept_2,Intercept_3,Mass,Phylo_sd,RLGA,RLGA:Mass,m1_RFI,m1_RFI:Mass,m2_RFI,m2_RFI:Mass,m1_OPCr,m1_OPCr:Mass,m2_OPCr,m2_OPCr:Mass,m1_aDNE,m1_aDNE:Mass,m2_aDNE,m2_aDNE:Mass
Bird,ALL,"-3.02 (-4.06, -2.12) ","0.51 (-0.25, 1.24) ","3.7 (2.66, 4.85) ","-0.55 (-1.16, 0.05) ","0.75 (0.08, 1.6) ","-0.91 (-1.68, -0.16) ","1.01 (0.13, 1.9) ","0.36 (-0.22, 0.91) ","0.53 (0.01, 1.06) ","0.01 (-0.85, 0.86) ","-0.52 (-1.45, 0.39) ","0.18 (-0.47, 0.83) ","0.12 (-0.58, 0.83) ","-0.86 (-1.85, 0.12) ","0.21 (-0.62, 1.01) ","0.1 (-0.57, 0.77) ","0.54 (-0.16, 1.25) ","0.12 (-0.91, 1.11) ","0.09 (-1.02, 1.18) "
Hard Invert,ALL,"-2.55 (-3.51, -1.62) ","-0.28 (-1.06, 0.64) ","1.32 (0.49, 2.33) ","-1.59 (-2.26, -0.95) ","1 (0.11, 2.21) ","1.35 (0.45, 2.26) ","0.6 (-0.36, 1.53) ","0.06 (-0.56, 0.69) ","-0.4 (-1.03, 0.22) ","-0.33 (-1.19, 0.53) ","-0.17 (-1.13, 0.79) ","0.08 (-0.6, 0.72) ","-0.1 (-0.81, 0.62) ","0.06 (-0.97, 1.13) ","-0.36 (-1.23, 0.48) ","0.61 (-0.11, 1.33) ","-1.06 (-1.84, -0.32) ","-0.07 (-1.13, 1) ","-0.11 (-1.34, 1.13) "
Large Mammal,ALL,"0.49 (-0.37, 1.26) ","1.99 (1.13, 2.88) ","3.05 (2.07, 4.1) ","2.19 (1.4, 3.01) ","0.83 (0.08, 1.88) ","-1.72 (-2.81, -0.68) ","-0.27 (-1.31, 0.75) ","0.16 (-0.56, 0.85) ","0.53 (-0.17, 1.22) ","0.66 (-0.31, 1.62) ","0.43 (-0.63, 1.49) ","-0.08 (-0.81, 0.66) ","-0.37 (-1.19, 0.42) ","-0.05 (-1.22, 1.07) ","0.3 (-0.63, 1.2) ","-0.52 (-1.38, 0.32) ","0.12 (-0.76, 1.04) ","-0.11 (-1.26, 1.01) ","-0.03 (-1.3, 1.22) "
Plant,ALL,"-0.76 (-2.21, 0.45) ","1.95 (0.68, 3.16) ","3.91 (2.44, 5.47) ","0.17 (-0.49, 0.84) ","2.03 (0.93, 3.17) ","0.14 (-0.74, 1.05) ","-0.52 (-1.55, 0.47) ","0.32 (-0.36, 1) ","0.28 (-0.31, 0.88) ","-0.19 (-1.21, 0.86) ","-0.36 (-1.42, 0.67) ","0.62 (-0.11, 1.34) ","0.09 (-0.67, 0.85) ","0.24 (-0.8, 1.29) ","0.86 (-0.09, 1.82) ","0.72 (-0.06, 1.52) ","-0.84 (-1.63, -0.09) ","-0.28 (-1.36, 0.85) ","0.57 (-0.61, 1.74) "
Carrion,DNE,"-0.41 (-1.47, 0.63) ","1.87 (0.84, 3.05) ","3.85 (2.67, 5.27) ","0.37 (-0.16, 0.9) ","1.51 (0.47, 2.61) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.01 (-0.68, 0.66) ","0.35 (-0.31, 1.03) ","0.24 (-0.51, 1.01) ","-0.34 (-0.99, 0.34) "
Egg,DNE,"0.37 (-0.35, 0.98) ","2.48 (1.73, 3.23) ","4.47 (3.29, 5.86) ","-0.29 (-0.76, 0.19) ","0.59 (0.05, 1.53) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.48 (-1.13, 0.14) ","0.19 (-0.44, 0.81) ","0.94 (0.28, 1.63) ","-0.37 (-1, 0.25) "
Hard Invert,DNE,"-2.63 (-3.74, -1.66) ","-0.45 (-1.37, 0.44) ","1.06 (0.14, 2.04) ","-1.43 (-2.07, -0.82) ","1.29 (0.47, 2.33) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.68 (0.01, 1.33) ","-1.19 (-1.93, -0.5) ","0.56 (-0.14, 1.31) ","0.2 (-0.41, 0.83) "
Herptile,DNE,"-1.44 (-2.04, -0.87) ","0.71 (0.19, 1.23) ","2.92 (2.17, 3.76) ","-0.82 (-1.28, -0.36) ","0.39 (0.03, 1.03) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.81 (0.24, 1.38) ","0.5 (-0.08, 1.12) ","-0.73 (-1.3, -0.13) ","-0.43 (-1.03, 0.14) "
Plant,DNE,"-0.81 (-2.17, 0.32) ","1.63 (0.4, 2.75) ","3.25 (1.94, 4.58) ","0.35 (-0.23, 0.92) ","1.7 (0.57, 2.82) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.69 (-0.02, 1.42) ","-0.59 (-1.32, 0.09) ","0.1 (-0.68, 0.87) ","0.4 (-0.28, 1.06) "
Seed,DNE,"1.73 (1.03, 2.42) ","2.86 (2.11, 3.63) ","4.01 (3.09, 4.96) ","0.06 (-0.59, 0.72) ","0.68 (0.05, 1.65) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.18 (-0.55, 0.91) ","0.07 (-0.65, 0.8) ","0.95 (0.15, 1.77) ","-0.15 (-0.95, 0.66) "
Small Mammal,DNE,"-3.19 (-4.48, -1.93) ","-0.8 (-1.87, 0.38) ","0.73 (-0.35, 1.99) ","-0.94 (-1.5, -0.38) ","1.68 (0.77, 2.7) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.23 (-0.93, 0.45) ","0.32 (-0.37, 1.01) ","-0.81 (-1.6, -0.03) ","0.64 (-0.05, 1.39) "
Soft Invert,DNE,"-0.3 (-1.07, 0.44) ","1.28 (0.55, 2.05) ","2.33 (1.52, 3.17) ","-1.11 (-1.66, -0.57) ","1.43 (0.59, 2.39) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.22 (-0.39, 0.83) ","-0.99 (-1.66, -0.32) ","0.4 (-0.35, 1.12) ","0.43 (-0.24, 1.09) "
Carrion,OPCr,"-0.94 (-2.08, 0.04) ","1.3 (0.27, 2.35) ","3.31 (2.1, 4.61) ","0.37 (-0.12, 0.88) ","1.6 (0.69, 2.62) ",NA,NA,NA,NA,NA,NA,"0.32 (-0.3, 0.96) ","0.49 (-0.22, 1.18) ","-0.24 (-1.07, 0.56) ","-0.43 (-1.13, 0.29) ",NA,NA,NA,NA
Fish,OPCr,"0.47 (-0.73, 1.7) ","2.69 (1.48, 4.1) ","3.83 (2.44, 5.5) ","0.41 (-0.16, 0.99) ","1.99 (1.05, 3.04) ",NA,NA,NA,NA,NA,NA,"0.59 (-0.07, 1.23) ","-0.32 (-1.06, 0.41) ","-0.42 (-1.34, 0.48) ","0.12 (-0.64, 0.88) ",NA,NA,NA,NA
Fruit,OPCr,"-2.68 (-4.45, -1.13) ","-0.26 (-1.82, 1.23) ","1.63 (0.08, 3.2) ","-0.38 (-1.04, 0.26) ","2.92 (1.97, 3.95) ",NA,NA,NA,NA,NA,NA,"0.41 (-0.28, 1.11) ","0.3 (-0.43, 1.01) ","0.83 (-0.13, 1.76) ","-0.58 (-1.39, 0.19) ",NA,NA,NA,NA
Herptile,OPCr,"-1.3 (-1.9, -0.74) ","0.73 (0.21, 1.28) ","2.94 (2.18, 3.76) ","-0.97 (-1.43, -0.54) ","0.5 (0.05, 1.23) ",NA,NA,NA,NA,NA,NA,"0.25 (-0.26, 0.75) ","-0.06 (-0.7, 0.57) ","-0.53 (-1.24, 0.15) ","-0.11 (-0.78, 0.52) ",NA,NA,NA,NA
Plant,OPCr,"-0.78 (-1.99, 0.19) ","1.59 (0.49, 2.58) ","3.29 (2.05, 4.57) ","0.16 (-0.36, 0.68) ","1.52 (0.52, 2.58) ",NA,NA,NA,NA,NA,NA,"0.44 (-0.2, 1.11) ","-0.16 (-0.86, 0.55) ","0.53 (-0.31, 1.38) ","0.25 (-0.44, 0.97) ",NA,NA,NA,NA
Soft Invert,OPCr,"-1.08 (-2.2, -0.1) ","0.57 (-0.5, 1.54) ","1.63 (0.58, 2.68) ","-1.04 (-1.62, -0.51) ","1.71 (0.82, 2.69) ",NA,NA,NA,NA,NA,NA,"-0.03 (-0.66, 0.6) ","0.27 (-0.41, 0.96) ","0.47 (-0.41, 1.33) ","-0.28 (-1, 0.43) ",NA,NA,NA,NA
Bird,RFI,"-2.64 (-3.47, -1.9) ","0.32 (-0.33, 1.01) ","3.25 (2.29, 4.28) ","-0.65 (-1.13, -0.19) ","0.69 (0.07, 1.52) ",NA,NA,"0.69 (0.24, 1.14) ","0.14 (-0.25, 0.52) ","-0.62 (-1.14, -0.11) ","0.62 (0.14, 1.08) ",NA,NA,NA,NA,NA,NA,NA,NA
Egg,RFI,"0.36 (-0.57, 1.06) ","2.48 (1.59, 3.36) ","4.44 (3.11, 5.96) ","0.03 (-0.46, 0.52) ","0.67 (0.06, 1.61) ",NA,NA,"0.14 (-0.33, 0.61) ","0.13 (-0.25, 0.51) ","0.96 (0.35, 1.6) ","-0.45 (-0.99, 0.08) ",NA,NA,NA,NA,NA,NA,NA,NA
Fruit,RFI,"-2.31 (-3.81, -0.88) ","-0.04 (-1.4, 1.37) ","1.73 (0.34, 3.2) ","-0.28 (-0.94, 0.33) ","2.64 (1.68, 3.66) ",NA,NA,"-0.66 (-1.26, -0.07) ","0.16 (-0.32, 0.65) ","0.84 (0.06, 1.63) ","-0.16 (-0.73, 0.41) ",NA,NA,NA,NA,NA,NA,NA,NA
Bird,RLGA,"-2.47 (-3.25, -1.78) ","0.57 (-0.03, 1.19) ","3.58 (2.66, 4.6) ","-0.85 (-1.27, -0.45) ","0.62 (0.09, 1.26) ","-1.25 (-1.74, -0.78) ","0.72 (0.32, 1.14) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrion,RLGA,"-0.91 (-2.06, 0.04) ","1.3 (0.23, 2.29) ","3.22 (2, 4.46) ","0.24 (-0.24, 0.73) ","1.56 (0.7, 2.52) ","-0.19 (-0.79, 0.38) ","0.15 (-0.32, 0.63) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egg,RLGA,"0.22 (-0.55, 0.83) ","2.29 (1.52, 3.05) ","4.29 (3.11, 5.67) ","-0.34 (-0.77, 0.09) ","0.74 (0.08, 1.68) ","0.28 (-0.19, 0.75) ","-0.03 (-0.48, 0.41) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish,RLGA,"0.48 (-0.78, 1.72) ","2.69 (1.42, 4.11) ","3.81 (2.41, 5.44) ","0.56 (-0.01, 1.15) ","2.1 (1.19, 3.11) ","-0.12 (-0.84, 0.59) ","0.34 (-0.2, 0.9) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fruit,RLGA,"-2.4 (-4.07, -0.96) ","-0.15 (-1.59, 1.27) ","1.64 (0.24, 3.16) ","-0.17 (-0.79, 0.4) ","2.52 (1.56, 3.61) ","1.36 (0.6, 2.15) ","-0.15 (-0.74, 0.44) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hard Invert,RLGA,"-2.57 (-3.54, -1.7) ","-0.5 (-1.28, 0.38) ","0.92 (0.16, 1.89) ","-1.06 (-1.6, -0.58) ","1.11 (0.17, 2.28) ","1.31 (0.71, 1.92) ","-0.24 (-0.7, 0.23) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large Mammal,RLGA,"1.48 (0.81, 2.08) ","2.6 (1.92, 3.27) ","3.74 (2.86, 4.69) ","-0.43 (-1.05, 0.17) ","0.76 (0.09, 1.7) ","0.51 (-0.09, 1.11) ","0.55 (-0.05, 1.19) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Root,RLGA,"2.33 (1.64, 3.03) ","3.4 (2.58, 4.26) ",NA,"0.04 (-0.69, 0.75) ","0.72 (0.07, 1.79) ","0.7 (0.05, 1.39) ","0.34 (-0.33, 1.01) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seed,RLGA,"0.68 (-0.11, 1.43) ","2.05 (1.26, 2.93) ","3.01 (2.15, 3.99) ","1.82 (1.24, 2.48) ","1.08 (0.31, 2) ","-1.71 (-2.48, -0.99) ","-0.14 (-0.7, 0.41) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small Mammal,RLGA,"-3.45 (-4.47, -2.46) ","-0.97 (-1.65, -0.17) ","0.51 (-0.18, 1.39) ","-1.01 (-1.46, -0.56) ","0.8 (0.11, 1.66) ","-1.8 (-2.4, -1.21) ","0.81 (0.35, 1.29) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
